time,observation,q,qd,q_des,qd_des,Kp,Kd,action,torque
0.0,"[ 9.99416947e-01  1.34015912e-02 -4.95301280e-03 -3.10099889e-02
 -3.31333876e-02  8.36671591e-01 -1.86867344e+00  4.55134660e-02
  8.46259296e-01 -1.85785890e+00 -5.72819747e-02  7.88495004e-01
 -1.89931464e+00  4.80297804e-02  7.56916940e-01 -1.90771353e+00
  1.99450795e-02  3.43218297e-02 -7.09748685e-01 -1.54135388e-03
  4.03582770e-03 -1.50662782e-02  0.00000000e+00 -0.00000000e+00
 -5.62500022e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -0.00000000e+00 -0.00000000e+00  4.76562493e-02 -0.00000000e+00
  0.00000000e+00  6.25000009e-03  1.00000000e+00  0.00000000e+00]","[-0.03313339  0.83667159 -1.86867344  0.04551347  0.8462593  -1.8578589
 -0.05728197  0.788495   -1.89931464  0.04802978  0.75691694 -1.90771353]","[ 0.         -0.         -0.05625     0.          0.          0.
 -0.         -0.          0.04765625 -0.          0.          0.00625   ]","(-1.0142389150757936e-08, 0.9191587567329407, -1.700583577156067, 1.0142389150757936e-08, 0.9191587567329407, -1.700583577156067, -1.0142389150757936e-08, 0.781424880027771, -1.700583577156067, 1.0142389150757936e-08, 0.781424880027771, -1.700583577156067)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(70.0, 70.0, 80.0, 70.0, 70.0, 80.0, 70.0, 70.0, 80.0, 70.0, 70.0, 80.0)","(5.0, 5.0, 7.0, 5.0, 5.0, 7.0, 5.0, 5.0, 7.0, 5.0, 5.0, 7.0)","[-0.06077813 -0.0269361   0.00165004 -0.01735008 -0.02396422  0.02605491
 -0.02160079  0.08500621 -0.03998308]","[ 2.31933642  5.77410161 13.05343932 -3.18594191  5.10296226 12.58202553
  4.00973752 -0.49490869 16.23207893 -3.36208392  1.71555579 16.61414642]"
0.21374940872192383,"[ 9.99897957e-01  1.35509176e-02 -4.51914454e-03  1.24557600e-05
 -3.31213996e-02  8.36671591e-01 -1.86863506e+00  4.55014817e-02
  8.46199095e-01 -1.85793543e+00 -5.72819747e-02  7.88495004e-01
 -1.89931464e+00  4.80297804e-02  7.56916940e-01 -1.90733004e+00
  1.99482702e-02  3.43305469e-02 -7.09752619e-01  5.89174742e-04
 -2.25229829e-04 -4.41363500e-03  0.00000000e+00 -0.00000000e+00
  1.13281250e-01  0.00000000e+00  0.00000000e+00 -1.69531256e-01
 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
  0.00000000e+00  1.00781254e-01  1.00000000e+00  0.00000000e+00]","[-0.0331214   0.83667159 -1.86863506  0.04550148  0.8461991  -1.85793543
 -0.05728197  0.788495   -1.89931464  0.04802978  0.75691694 -1.90733004]","[ 0.         -0.          0.11328125  0.          0.         -0.16953126
 -0.         -0.         -0.         -0.          0.          0.10078125]","(-0.060832686722278595, 1.124432921409607, -1.6424771547317505, 0.12121690809726715, 0.9268397092819214, -1.6830931901931763, -0.01972818374633789, 1.0698541402816772, -1.705926775932312, 0.07565244287252426, 0.7460666298866272, -1.7074896097183228)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0)","(3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0)","[-0.24939297 -0.08937361 -0.30724177 -0.01619664 -0.23913334  0.23400173
  0.03167972  0.27786133 -0.19256078]","[-3.29764317 34.24359834 27.25263429  9.01013574  9.59623307 20.2976326
  4.46890112 33.4817372  23.01315606  3.28709684 -1.29118693 24.08335451]"
0.21896004676818848,"[ 9.99897957e-01  1.35509176e-02 -4.51914454e-03  1.24557600e-05
 -3.31213996e-02  8.36671591e-01 -1.86863506e+00  4.55014817e-02
  8.46199095e-01 -1.85793543e+00 -5.72819747e-02  7.88495004e-01
 -1.89931464e+00  4.80297804e-02  7.56916940e-01 -1.90733004e+00
  1.99482702e-02  3.43305469e-02 -7.09752619e-01  5.89174742e-04
 -2.25229829e-04 -4.41363500e-03  0.00000000e+00 -0.00000000e+00
  1.13281250e-01  0.00000000e+00  0.00000000e+00 -1.69531256e-01
 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00
  0.00000000e+00  1.00781254e-01 -8.63923430e-01  5.03623247e-01]","[-0.0331214   0.83667159 -1.86863506  0.04550148  0.8461991  -1.85793543
 -0.05728197  0.788495   -1.89931464  0.04802978  0.75691694 -1.90733004]","[ 0.         -0.          0.11328125  0.          0.         -0.16953126
 -0.         -0.         -0.         -0.          0.          0.10078125]","(-0.13480211794376373, 1.0961222648620605, -1.7386082410812378, 0.0722266212105751, 1.0244662761688232, -1.6751039028167725, 0.05781999230384827, 1.0066351890563965, -1.7501468658447266, 0.13922742009162903, 0.8936506509780884, -1.7786067724227905)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0)","(3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0)","[-0.26216924 -0.09522805 -0.32167539 -0.03356226 -0.25463668  0.26547936
  0.07060008  0.26588285 -0.14267389]","[-12.10000549  30.87463021  15.81303501   3.1802916   21.21379453
  21.2483578   13.69713407  25.958682    17.75096536  10.85251912
  16.27131158  15.62041215]"
0.22907543182373047,"[ 9.99898612e-01  1.34983957e-02 -4.53665154e-03 -3.13500059e-05
 -3.31213996e-02  8.36659610e-01 -1.86863506e+00  4.55014817e-02
  8.46247315e-01 -1.85789716e+00 -5.72819747e-02  7.88483024e-01
 -1.89931464e+00  4.80177961e-02  7.56916940e-01 -1.90775192e+00
  1.99503805e-02  3.44922841e-02 -7.09648132e-01 -1.00634685e-02
 -1.62041951e-02  2.00874452e-02  0.00000000e+00 -0.00000000e+00
 -1.87500007e-02  0.00000000e+00  0.00000000e+00  2.34375009e-03
 -0.00000000e+00 -0.00000000e+00 -5.70312515e-02 -0.00000000e+00
  0.00000000e+00  6.56250045e-02 -9.29776490e-01  3.68124604e-01]","[-0.0331214   0.83665961 -1.86863506  0.04550148  0.84624732 -1.85789716
 -0.05728197  0.78848302 -1.89931464  0.0480178   0.75691694 -1.90775192]","[ 0.         -0.         -0.01875     0.          0.          0.00234375
 -0.         -0.         -0.05703125 -0.          0.          0.065625  ]","(-0.13738101720809937, 1.058632731437683, -1.682898998260498, 0.060328710824251175, 1.0464375019073486, -1.670436143875122, 0.051482293754816055, 0.9942688345909119, -1.7477809190750122, 0.14054536819458008, 0.8926858305931091, -1.7214858531951904)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0)","(3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0)","[-0.26155913 -0.1253852  -0.31013122 -0.06726355 -0.26979235  0.23744199
  0.05162184  0.27811408 -0.13298756]","[-12.4068945   26.41480142  22.04634115   1.76444026  23.82263219
  22.31489246  12.94294795  24.4885115   17.86141927  11.01078108
  16.15649796  22.36253671]"
0.23857975006103516,"[ 9.99906301e-01  1.28207263e-02 -4.79190610e-03  7.53222776e-05
 -3.35585885e-02  8.47471654e-01 -1.86249912e+00  4.94829826e-02
  8.48855317e-01 -1.85248995e+00 -5.32111041e-02  8.06077540e-01
 -1.89854765e+00  5.33867963e-02  7.57104337e-01 -1.90322661e+00
  1.99954677e-02  3.44355479e-02 -7.09742963e-01 -2.60400593e-01
 -2.89977163e-01  9.57212150e-02 -1.16776788e+00  2.76080370e+00
  1.05703127e+00  4.43928570e-01  1.26008928e+00  1.61093748e+00
  1.43196428e+00  2.25991082e+00 -5.86718738e-01  2.25008941e+00
  1.92205358e+00  8.34375024e-01 -9.74526882e-01  2.24270850e-01]","[-0.03355859  0.84747165 -1.86249912  0.04948298  0.84885532 -1.85248995
 -0.0532111   0.80607754 -1.89854765  0.0533868   0.75710434 -1.90322661]","[-1.16776788  2.7608037   1.05703127  0.44392857  1.26008928  1.61093748
  1.43196428  2.25991082 -0.58671874  2.25008941  1.92205358  0.83437502]","(-0.13818049430847168, 1.072698712348938, -1.6333779096603394, 0.06455554068088531, 0.9534953236579895, -1.7078715562820435, 0.11039654910564423, 0.957919716835022, -1.782002329826355, 0.12085972726345062, 0.8247204422950745, -1.7047119140625)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0)","(3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0)","[-0.32225549  0.02651452 -0.24119568  0.01189933 -0.27675214  0.24915323
  0.19861807  0.23062952 -0.16502915]","[-15.95331044  35.08443099  30.4365176    3.12542012  16.23242867
  22.04240108  23.76520357  24.84895152  12.10873681  14.77954701
  13.81247723  26.12637436]"
0.24936938285827637,"[ 9.99914646e-01  1.08861364e-02 -7.17117544e-03  8.73276498e-04
 -4.49572317e-02  8.74738753e-01 -1.86165547e+00  6.18272796e-02
  8.62281501e-01 -1.84604728e+00 -4.39598337e-02  8.34146023e-01
 -1.90729141e+00  7.12923184e-02  7.69402325e-01 -1.90656304e+00
  2.00468730e-02  3.44202034e-02 -7.09739327e-01 -6.32177889e-01
 -5.73337495e-01  1.51114970e-01 -1.24732149e+00  3.30687499e+00
  1.10468757e+00  5.15625000e-01  1.71875000e+00  5.09375036e-01
  1.21491075e+00  2.19508934e+00 -1.49687505e+00  2.49366069e+00
  1.70991075e+00 -3.22656244e-01 -9.92114723e-01  1.25333190e-01]","[-0.04495723  0.87473875 -1.86165547  0.06182728  0.8622815  -1.84604728
 -0.04395983  0.83414602 -1.90729141  0.07129232  0.76940233 -1.90656304]","[-1.24732149  3.30687499  1.10468757  0.515625    1.71875     0.50937504
  1.21491075  2.19508934 -1.49687505  2.49366069  1.70991075 -0.32265624]","(-0.10994233191013336, 1.1062268018722534, -1.6331607103347778, 0.07286478579044342, 0.9681868553161621, -1.7144831418991089, 0.14619813859462738, 0.8961041569709778, -1.8063291311264038, 0.09348206222057343, 0.8306039571762085, -1.7194637060165405)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0)","(3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0)","[-0.36692107  0.01245678 -0.14864953  0.01380675 -0.2018176   0.26983199
  0.28568032  0.15851565 -0.21509574]","[-11.47519138  37.46770281  30.50493956   2.86033823  17.75898713
  17.18425781  26.27353094  13.95828599   7.52388632  10.12156158
  12.41272646  21.29685244]"
0.2588064670562744,"[ 9.99906838e-01  7.62579031e-03 -1.11670727e-02  1.86996558e-03
 -6.46154583e-02  9.09891248e-01 -1.84332442e+00  6.79264367e-02
  8.82097661e-01 -1.84305596e+00 -3.49476933e-02  8.50289702e-01
 -1.91584337e+00  8.96962583e-02  7.85082042e-01 -1.90621793e+00
  2.00921576e-02  3.44231278e-02 -7.09729910e-01 -7.16333747e-01
 -8.37523043e-01  2.12900281e-01 -2.15973210e+00  3.84116077e+00
  2.32421875e+00  4.22321439e-01  8.90803576e-01  3.80468756e-01
  1.57535720e+00  6.10892892e-01 -9.32031274e-01  1.75017858e+00
  2.96607137e-01  3.90625000e-02 -9.99684215e-01 -2.51300987e-02]","[-0.06461546  0.90989125 -1.84332442  0.06792644  0.88209766 -1.84305596
 -0.03494769  0.8502897  -1.91584337  0.08969626  0.78508204 -1.90621793]","[-2.1597321   3.84116077  2.32421875  0.42232144  0.89080358  0.38046876
  1.5753572   0.61089289 -0.93203127  1.75017858  0.29660714  0.0390625 ]","(-0.1103489100933075, 1.0824394226074219, -1.650831699371338, 0.07253202050924301, 0.9336913228034973, -1.729398488998413, 0.1483830213546753, 0.8787528872489929, -1.8141155242919922, 0.09552116692066193, 0.7982312440872192, -1.7166954278945923)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0)","(3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0)","[-0.32067463  0.06798495 -0.12257688  0.05439503 -0.20268148  0.2681323
  0.28922942  0.16367158 -0.24499065]","[-11.92147708  32.05671513  29.87929034   1.81502879   8.81205642
  14.66664574  26.54242665   5.21979767   9.30951953   5.94369985
   2.45457643  22.67036557]"
0.26894569396972656,"[ 9.99874234e-01  2.93157832e-03 -1.52273374e-02  3.32048908e-03
 -8.20252597e-02  9.42811072e-01 -1.81379521e+00  7.36205801e-02
  8.90075564e-01 -1.84159875e+00 -1.77816264e-02  8.61231327e-01
 -1.92638946e+00  1.03687532e-01  7.90643811e-01 -1.90809703e+00
  2.01129057e-02  3.44333574e-02 -7.09716201e-01 -1.00821614e+00
 -7.21409202e-01  3.69494170e-01 -1.19133925e+00  3.63196445e+00
  3.38046885e+00  6.41339302e-01  3.81071419e-01  4.21875000e-01
  2.13714290e+00  7.48392880e-01 -7.33593762e-01  4.51785713e-01
  6.90446436e-01 -3.85156244e-01 -9.92114723e-01 -1.25333130e-01]","[-0.08202526  0.94281107 -1.81379521  0.07362058  0.89007556 -1.84159875
 -0.01778163  0.86123133 -1.92638946  0.10368753  0.79064381 -1.90809703]","[-1.19133925  3.63196445  3.38046885  0.6413393   0.38107142  0.421875
  2.1371429   0.74839288 -0.73359376  0.45178571  0.69044644 -0.38515624]","(-0.1171535924077034, 1.0679972171783447, -1.6742675304412842, 0.059567566961050034, 0.9353521466255188, -1.7596633434295654, 0.09503312408924103, 0.9308801889419556, -1.8233768939971924, 0.11389108002185822, 0.8009965419769287, -1.720655918121338)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0)","(3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0)","[-0.28222269  0.08666416 -0.1808971   0.0531372  -0.21803984  0.23251083
  0.15323351  0.20948137 -0.30241567]","[-7.75428935 25.79304463 26.74520028  0.25170934  6.53112754 11.01593828
 19.836384   10.5333932  10.05771357  2.56957933  3.30331427 21.15002343]"
0.27968692779541016,"[ 0.999816   -0.00264909 -0.01819504  0.00546511 -0.09453268  0.97366714
 -1.7903254   0.08018794  0.89323884 -1.8371501   0.00384826  0.87241185
 -1.93425107  0.11441506  0.80293936 -1.91534507  0.02012466  0.03439294
 -0.70969558 -1.11261213 -0.40609095  0.50371748 -0.84562498  2.38562512
  2.37265635  0.6914286   0.25241071  0.44062501  1.93383932  0.56473213
 -0.34843752  0.70125002  0.43607143 -0.80390626 -0.96202767 -0.27295205]","[-0.09453268  0.97366714 -1.7903254   0.08018794  0.89323884 -1.8371501
  0.00384826  0.87241185 -1.93425107  0.11441506  0.80293936 -1.91534507]","[-0.84562498  2.38562512  2.37265635  0.6914286   0.25241071  0.44062501
  1.93383932  0.56473213 -0.34843752  0.70125002  0.43607143 -0.80390626]","(-0.1075337752699852, 1.0429933071136475, -1.6965352296829224, 0.05701056122779846, 1.0159945487976074, -1.77824068069458, 0.0583173967897892, 0.9098293781280518, -1.8396937847137451, 0.10222207754850388, 0.8153648376464844, -1.7307558059692383)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0)","(3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0)","[-0.2311727  -0.00259762 -0.1447195   0.04008444 -0.19318284  0.22288725
  0.06087945  0.17933519 -0.30977792]","[-4.08400487 15.40668869 18.27899969 -0.68382216 15.36516118  8.33209556
 12.28334565  6.14688259 10.2070044   0.65278549  2.78684667 19.55440396]"
0.2891843318939209,"[ 9.99746621e-01 -7.49032153e-03 -1.96012519e-02  8.14717263e-03
 -1.04647912e-01  9.98879194e-01 -1.76865792e+00  8.64782855e-02
  8.94495547e-01 -1.83519435e+00  1.70962363e-02  8.79186749e-01
 -1.93497980e+00  1.25660092e-01  8.06315899e-01 -1.91745436e+00
  2.01383755e-02  3.43579389e-02 -7.09667027e-01 -8.43100190e-01
 -1.14208512e-01  5.79351246e-01 -8.29910696e-01  2.48580360e+00
  1.88984382e+00  5.37232161e-01 -9.82142892e-03  4.60937507e-02
  7.20892847e-01  1.32982147e+00  6.87500015e-02  1.60973215e+00
 -9.82142868e-04 -4.21875007e-02 -9.29776490e-01 -3.68124545e-01]","[-0.10464791  0.99887919 -1.76865792  0.08647829  0.89449555 -1.83519435
  0.01709624  0.87918675 -1.9349798   0.12566009  0.8063159  -1.91745436]","[-8.29910696e-01  2.48580360e+00  1.88984382e+00  5.37232161e-01
 -9.82142892e-03  4.60937507e-02  7.20892847e-01  1.32982147e+00
  6.87500015e-02  1.60973215e+00 -9.82142868e-04 -4.21875007e-02]","(-0.1165684387087822, 1.0290640592575073, -1.6916966438293457, 0.055623311549425125, 1.0568379163742065, -1.7957653999328613, 0.07584697008132935, 0.8780074715614319, -1.8663996458053589, 0.08274970948696136, 0.8422520756721497, -1.740987777709961)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0, 119.0)","(3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0)","[-0.21599726 -0.04133481 -0.0903001   0.01077087 -0.21839687  0.2162455
  0.10163895  0.13029273 -0.29933092]","[-3.90827475 11.04940975 14.82792366 -2.06004542 19.28927769  4.83032623
  9.15401585  3.84913033  8.36728793 -0.27713902  4.27345861 20.87296102]"
